,ilce_adi,mahalle_adi,mahalle_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,mahalle_nufus,segment
150,BEÞÝKTAÞ,KÜLTÜR,40229,0,2,17,65,0,0,1,2,0,0,0,64,172.0,141.0,117.0,286.0,138.0,6.0,4925,3
151,BEÞÝKTAÞ,LEVAZIM,40226,0,1,7,40,0,0,1,4,0,0,0,74,38.0,118.0,64.0,59.0,148.0,13.0,3082,3
152,BEÞÝKTAÞ,LEVENT,40235,2,8,95,248,0,0,1,4,1,1,1,105,798.0,158.0,416.0,1337.0,24.0,11.0,6142,3
153,BEÞÝKTAÞ,MECÝDÝYE,40224,11,32,127,293,6,4,17,38,0,0,0,525,546.0,320.0,216.0,673.0,409.0,0.0,3145,3
154,BEÞÝKTAÞ,MURADÝYE,40216,1,2,12,66,1,0,3,6,0,0,0,69,141.0,139.0,34.0,15.0,293.0,6.0,10766,3
155,BEÞÝKTAÞ,NÝSBETÝYE,40230,1,2,21,103,0,0,2,7,0,0,0,143,201.0,271.0,114.0,123.0,426.0,37.0,5048,3
156,BEÞÝKTAÞ,ORTAKÖY,40225,7,20,96,239,2,2,9,20,0,0,1,366,474.0,273.0,284.0,727.0,303.0,1.0,12435,3
157,BEÞÝKTAÞ,SÝNANPAÞA,40215,8,18,71,169,4,2,10,18,0,0,0,147,189.0,187.0,147.0,289.0,233.0,1.0,9556,3
158,BEÞÝKTAÞ,TÜRKALÝ,40218,6,14,62,190,4,2,10,21,0,0,0,333,395.0,212.0,102.0,190.0,512.0,7.0,2534,3
159,BEÞÝKTAÞ,ULUS,40227,1,3,23,88,0,0,1,5,0,0,0,125,130.0,288.0,72.0,256.0,234.0,0.0,10346,3
160,BEÞÝKTAÞ,VÝÞNEZADE,40214,5,13,54,170,1,0,4,11,0,1,1,214,254.0,273.0,146.0,338.0,317.0,18.0,7159,3
161,BEÞÝKTAÞ,YILDIZ,40220,4,11,55,168,1,0,4,9,1,0,1,169,270.0,224.0,184.0,375.0,295.0,8.0,6758,3
162,BEYKOZ,ACARLAR,40250,1,8,89,295,0,0,0,0,1,0,0,109,3.0,1846.0,391.0,1977.0,262.0,1.0,6232,3
163,BEYKOZ,AKBABA,191701,0,2,18,66,0,0,0,0,0,0,0,33,298.0,210.0,188.0,682.0,14.0,0.0,7319,3
164,BEYKOZ,ALÝBAHADIR,191703,1,2,14,40,0,0,0,0,0,0,0,19,22.0,151.0,130.0,302.0,1.0,0.0,2726,3
165,BEYKOZ,ANADOLU FENERÝ,191705,0,2,15,48,0,0,0,0,0,0,0,18,42.0,73.0,301.0,414.0,2.0,0.0,764,3
166,BEYKOZ,ANADOLU HÝSARI,40243,3,10,67,145,0,0,2,5,0,0,0,27,362.0,163.0,138.0,619.0,44.0,0.0,750,3
167,BEYKOZ,ANADOLU KAVAÐI,40256,1,3,16,49,0,0,0,1,0,0,0,102,93.0,163.0,153.0,402.0,7.0,0.0,2644,3
168,BEYKOZ,BAKLACI,40257,1,8,64,171,0,0,0,0,1,1,1,95,21.0,0.0,1024.0,1034.0,11.0,0.0,2104,3
169,BEYKOZ,BOZHANE,191725,1,3,13,36,0,0,0,0,0,0,0,15,47.0,82.0,149.0,278.0,0.0,0.0,3062,3
170,BEYKOZ,CUMHURÝYET,191727,1,5,28,84,0,0,0,1,0,0,0,41,205.0,194.0,283.0,679.0,3.0,0.0,475,3
171,BEYKOZ,ÇAMLIBAHÇE,40253,10,26,122,224,4,3,14,27,0,0,1,356,699.0,255.0,115.0,1042.0,27.0,0.0,6405,3
172,BEYKOZ,ÇENGELDERE,40258,1,7,58,172,0,0,0,0,0,1,1,108,26.0,3.0,1161.0,1159.0,31.0,0.0,5005,3
173,BEYKOZ,ÇÝFTLÝK,40259,1,7,61,172,0,0,0,0,0,0,1,120,31.0,0.0,1074.0,1079.0,26.0,0.0,5358,3
174,BEYKOZ,ÇÝÐDEM,40240,1,6,59,199,0,0,0,5,0,0,0,152,962.0,752.0,177.0,1793.0,98.0,0.0,11619,3
175,BEYKOZ,ÇUBUKLU,40241,9,34,185,495,3,3,13,33,1,1,1,483,1414.0,1493.0,428.0,3110.0,224.0,1.0,21051,1
176,BEYKOZ,DERESEKÝ,191709,0,2,19,66,0,0,0,0,0,0,0,23,130.0,222.0,370.0,718.0,4.0,0.0,1966,3
177,BEYKOZ,ELMALI,191711,1,4,34,106,0,0,0,0,0,0,0,48,92.0,501.0,310.0,880.0,23.0,0.0,1513,3
178,BEYKOZ,FATÝH,40260,0,4,31,91,0,0,0,1,0,0,0,83,17.0,0.0,602.0,583.0,36.0,0.0,2989,3
179,BEYKOZ,GÖKSU,40244,5,15,80,149,1,0,6,13,0,0,1,140,354.0,126.0,125.0,580.0,25.0,0.0,4342,3
180,BEYKOZ,GÖLLÜ,191729,0,1,7,19,0,0,0,0,0,0,0,8,20.0,36.0,91.0,147.0,0.0,0.0,2830,3
181,BEYKOZ,GÖRELE,191713,1,4,32,91,0,0,0,0,0,0,0,50,30.0,412.0,213.0,650.0,5.0,0.0,243,3
182,BEYKOZ,GÖZTEPE,40246,4,15,90,209,1,0,5,12,0,0,1,295,189.0,294.0,557.0,904.0,135.0,1.0,2020,3
183,BEYKOZ,GÜMÜÞSUYU,40237,9,34,176,469,1,1,8,21,0,1,1,357,1354.0,1211.0,586.0,3087.0,64.0,0.0,10016,1
184,BEYKOZ,ÝNCÝRKÖY,40238,5,20,149,416,1,1,5,15,0,0,1,368,2043.0,775.0,419.0,3124.0,113.0,0.0,14232,1
185,BEYKOZ,ÝSHAKLI,191731,1,4,26,78,0,0,0,0,0,0,0,29,64.0,213.0,379.0,655.0,1.0,0.0,18130,3
186,BEYKOZ,KANLICA,40242,1,5,42,119,0,0,0,3,0,0,0,97,387.0,206.0,150.0,658.0,84.0,1.0,1283,3
187,BEYKOZ,KAVACIK,40247,7,23,134,381,2,1,13,31,0,1,1,545,959.0,667.0,363.0,1296.0,606.0,87.0,4242,1
188,BEYKOZ,KAYNARCA,191715,0,1,8,25,0,0,0,0,0,0,0,12,3.0,124.0,91.0,218.0,0.0,0.0,22371,3
189,BEYKOZ,KILIÇLI,191733,0,1,11,36,0,0,0,0,0,0,0,11,0.0,39.0,293.0,331.0,1.0,0.0,627,3
190,BEYKOZ,MAHMUTÞEVKETPAÞA,191723,1,5,31,93,0,0,0,0,0,0,0,40,213.0,254.0,267.0,727.0,7.0,0.0,545,3
191,BEYKOZ,MERKEZ,40251,0,2,33,122,0,0,0,1,0,0,0,63,712.0,291.0,209.0,1147.0,64.0,1.0,1808,3
192,BEYKOZ,ORTAÇEÞME,40254,4,13,83,202,2,1,5,11,0,0,0,196,594.0,705.0,249.0,1517.0,31.0,0.0,6064,3
193,BEYKOZ,ÖÐÜMCE,191735,1,3,18,49,0,0,0,0,0,0,0,20,81.0,161.0,110.0,352.0,0.0,0.0,477,3
194,BEYKOZ,ÖRNEKKÖY,191721,1,5,38,120,0,0,0,0,0,0,1,69,20.0,676.0,358.0,1044.0,10.0,0.0,3982,3
195,BEYKOZ,PAÞABAHÇE,40239,4,11,72,143,1,0,4,9,0,0,0,161,474.0,166.0,101.0,694.0,47.0,0.0,8065,3
196,BEYKOZ,PAÞAMANDIRA,191737,2,6,26,71,0,0,0,1,0,0,0,39,50.0,269.0,240.0,559.0,0.0,0.0,3894,3
197,BEYKOZ,POLONEZKÖY,191717,2,6,32,77,0,0,0,0,0,0,0,27,105.0,155.0,212.0,469.0,3.0,0.0,1055,3
198,BEYKOZ,POYRAZKÖY,16634,1,4,16,43,0,0,0,0,0,0,0,0,89.0,12.0,205.0,300.0,6.0,0.0,377,3
199,BEYKOZ,RÝVA,191707,0,3,37,134,0,0,0,0,1,0,0,37,8.0,64.0,1305.0,1367.0,9.0,1.0,923,3
200,BEYKOZ,RÜZGARLIBAHÇE,40248,4,20,86,248,1,1,6,15,0,0,0,166,536.0,826.0,342.0,1618.0,58.0,28.0,2237,3
201,BEYKOZ,SOÐUKSU,40249,0,3,41,150,0,0,0,2,0,0,0,94,378.0,925.0,259.0,1470.0,92.0,0.0,8011,3
202,BEYKOZ,TOKATKÖY,40255,7,23,137,339,3,2,9,19,0,0,0,324,995.0,1366.0,411.0,2688.0,84.0,0.0,11133,1
203,BEYKOZ,YALIKÖY,40252,7,18,83,190,2,2,7,15,0,0,0,165,740.0,346.0,242.0,1295.0,33.0,0.0,15449,3
204,BEYKOZ,YAVUZ SELÝM,40261,1,8,73,209,0,0,0,0,1,1,1,114,30.0,18.0,1363.0,1392.0,19.0,0.0,5471,3
205,BEYKOZ,YENÝ MAHALLE,40245,13,55,290,679,3,1,15,43,1,0,1,656,1046.0,1750.0,648.0,3366.0,78.0,0.0,5072,0
206,BEYKOZ,ZERZAVATÇI,191739,0,2,12,36,0,0,0,0,0,0,0,22,43.0,157.0,86.0,284.0,2.0,0.0,19458,3
207,BEYLÝKDÜZÜ,ADNAN KAHVECÝ,40869,27,83,292,624,106,56,285,523,2,5,8,6195,0.0,505.0,1113.0,583.0,490.0,545.0,980,2
